Title,SJR,H index,IPP,SNIP,Total Docs. (2023),Total Docs. (3years),Total Refs.,Est. value (USD) (2023),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher,Labels
Ca-A Cancer Journal for Clinicians,106.094,223,508.896103896104,167.948450689578,43,124,3952,1508428.0,35769,0.0006989292404037,0.2177419354838709,89,385.46,91.91,76,John Wiley and Sons Inc,1.0
Foundations and Trends in Machine Learning,37.044,42,57.9230769230769,24.1215905579579,3,13,897,114748.0,1094,0.0,0.0769230769230769,13,115.11,299.0,17,Now Publishers Inc,1.0
Nature Reviews Molecular Cell Biology,35.91,531,100.337931034483,19.3014406082415,115,336,9927,3549661.0,13540,0.0032496307237813,0.3601190476190476,153,34.4,86.32,26,Nature Research,1.0
Quarterly Journal of Economics,30.448,322,15.2205882352941,9.63600990096294,47,136,3645,1383193.0,2166,0.0193905817174515,0.0367647058823529,136,10.79,77.55,140,Oxford University Press,1.0
Nature Reviews Cancer,26.837,527,65.3860759493671,11.5009533490137,105,303,10805,3155228.0,10966,0.0055626481853,0.3762376237623762,162,31.34,102.9,25,Nature Publishing Group,1.0
Cell,24.342,925,45.1375752364574,7.54975697008093,433,1495,32237,14997412.0,53276,0.0096478714618214,0.1177257525083612,1206,31.13,74.45,52,Elsevier B.V.,1.0
Nature Reviews Drug Discovery,22.399,412,103.366972477064,19.360332322103,235,729,8040,6224022.0,12927,0.0034037286299992,0.4375857338820302,145,19.44,34.21,24,Nature Research,1.0
American Economic Review,22.344,380,13.0833333333333,7.49287089364136,95,353,6242,3238907.0,4574,0.0166156536947966,0.0623229461756373,351,9.85,65.71,50,American Economic Association,1.0
Nature Reviews Materials,21.836,215,70.6492146596859,12.105835111597,116,334,8684,3246017.0,13591,0.0031638584357295,0.2844311377245509,195,30.88,74.86,10,Nature Publishing Group,1.0
Nature Reviews Clinical Oncology,21.048,238,59.4611111111111,10.8459852343331,127,400,9888,3783020.0,10844,0.0049797122832902,0.3075,183,28.43,77.86,17,Nature Publishing Group,1.0
New England Journal of Medicine,20.544,1231,53.3505282784338,13.9996127927082,1388,4534,14980,43354386.0,108703,0.0041765176674056,0.3868548742831936,1808,21.95,10.79,81,Massachussetts Medical Society,1.0
Journal of Finance,19.139,370,8.74299065420561,4.85775755707063,77,226,4679,2128318.0,1848,0.0324675324675324,0.0884955752212389,220,6.73,60.77,80,Wiley-Blackwell Publishing Ltd,1.0
Nature Medicine,19.045,653,49.037845705968,8.9866742344532,580,1359,15980,13516162.0,36624,0.0077271734381826,0.2104488594554819,724,27.61,27.55,31,Nature Research,1.0
MMWR supplements,18.587,30,51.34782832663022,12.580073351757722,11,16,0,91445.0,754,0.0,0.0,16,44.86,0.0,5,Epidemiology Program Office,1.0
Journal of Political Economy,18.53,225,9.24806201550388,6.26195882681081,83,261,4493,2394350.0,2462,0.0199025182778229,0.057471264367816,258,6.92,54.13,48,University of Chicago Press,1.0
Nature,18.509,1442,47.2218854198242,10.0095364240963,2861,7546,72363,72917307.0,159385,0.0101201493239639,0.3177842565597668,3755,21.04,25.29,157,Nature Research,1.0
Nature Biotechnology,18.117,531,34.177304964539,6.06654022060036,384,1065,8877,10217424.0,16948,0.0125088506018409,0.3652582159624413,460,13.14,23.12,37,Nature Research,1.0
Chemical Reviews,17.828,873,59.5558312655087,10.8508660185948,260,842,111222,7630318.0,49867,0.0096657107907032,0.015439429928741,810,49.77,427.78,102,American Chemical Society,1.0
Econometrica,17.701,231,7.06463878326996,5.15878240141693,79,269,3379,2238838.0,1818,0.0242024202420242,0.1301115241635687,264,5.92,42.77,43,Wiley-Blackwell Publishing Ltd,1.0
Review of Financial Studies,17.654,250,10.6945812807882,5.21852100220339,118,410,7065,3510184.0,4239,0.0332625619249823,0.0829268292682926,409,7.55,59.87,30,Oxford University Press,1.0
Cancer Cell,17.507,416,32.6558823529412,5.42453615729757,178,590,11546,4899202.0,12617,0.0112546564159467,0.135593220338983,360,19.87,64.87,24,Cell Press,1.0
Nature Energy,17.497,259,47.0851648351648,7.34216832706112,228,608,6622,5983592.0,16589,0.011694496353005,0.2796052631578947,378,25.83,29.04,10,Springer Nature,1.0
Nature Genetics,17.3,660,27.6714579055441,5.87151586586083,335,654,13641,6955045.0,12981,0.0268854479624065,0.209480122324159,504,19.59,40.72,34,Nature Research,1.0
Reviews of Modern Physics,16.061,399,44.5959595959596,14.0713106306735,36,103,14097,1049416.0,4368,0.0032051282051282,0.0388349514563106,99,43.39,391.58,97,American Physical Society,1.0
Nature Reviews Immunology,16.009,486,40.3745819397993,6.79645082045053,159,540,8986,4799886.0,13810,0.0041998551774076,0.3611111111111111,304,23.12,56.52,25,Nature Research,1.0
IEEE Communications Surveys and Tutorials,15.966,287,37.3760330578512,10.9516679731317,88,252,19336,2452721.0,12149,0.0235410321837188,0.0396825396825396,244,42.16,219.73,21,Institute of Electrical and Electronics Engineers Inc.,1.0
World Psychiatry,15.827,153,38.7741935483871,11.9244058554523,107,297,4362,2708836.0,3994,0.0418127190786179,0.074074074074074,62,12.69,40.77,19,Wiley-Blackwell,1.0
National Vital Statistics Reports,14.943,120,18.5714285714286,10.013218165406,16,42,403,436397.0,892,0.0291479820627802,0.0714285714285714,41,24.03,25.19,27,"Public Health Services, US Dept of Health and Human Services",1.0
Nature Methods,14.796,408,39.6878850102669,11.1723277199505,389,979,10942,9773124.0,15964,0.0182285141568529,0.3748723186925434,589,17.64,28.13,22,Nature Research,1.0
Advances in Physics,14.78,127,32.8181818181818,10.1814183276249,3,13,572,103711.0,364,0.0,0.2307692307692307,11,11.67,190.67,72,Taylor and Francis Ltd.,1.0
Nano Research Energy,14.707,40,61.7941176470588,7.98143358999326,46,35,4815,251414.0,2133,0.017346460384435,0.0,34,60.94,104.67,3,Tsinghua University Press,1.0
MMWR Recommendations and Reports,14.618,155,21.1559633027523,6.89926892326719,5,20,608,179776.0,1237,0.0008084074373484,0.0,20,87.1,121.6,35,Centers for Disease Control and Prevention (CDC),1.0
Academy of Management Annals,14.605,119,24.1,8.98962000689839,23,72,5797,648757.0,1724,0.0121809744779582,0.0138888888888888,70,13.05,252.04,16,Academy of Management,1.0
Nature Nanotechnology,14.577,444,37.3173913043478,6.29173575566494,240,637,8929,6146349.0,17374,0.0070219868769425,0.141287284144427,466,27.12,37.2,20,Nature Publishing Group,1.0
Nature Reviews Genetics,14.293,439,28.3756097560976,5.69430298129387,118,346,9166,3352683.0,6226,0.0081914551879216,0.4479768786127168,207,17.41,77.68,26,Nature Research,1.0
Nature Materials,14.231,583,35.8935427574171,6.50574681510808,304,833,9449,7649047.0,20382,0.0068197429104111,0.2004801920768307,592,23.64,31.08,24,Nature Publishing Group,1.0
Administrative Science Quarterly,14.175,218,13.4880952380952,4.59648876322089,28,92,3163,816682.0,1119,0.0473637176050044,0.0869565217391304,86,9.54,112.96,47,Johnson School at Cornell University,1.0
Annals of Oncology,13.942,311,32.6916666666667,8.47417754576757,139,670,4971,5679858.0,12948,0.0078776645041705,0.2029850746268656,362,19.17,35.76,36,Elsevier Ltd,1.0
Journal of Financial Economics,13.655,331,10.8729874776386,5.04782455363483,89,563,4857,4116469.0,5808,0.0187672176308539,0.0710479573712255,559,10.23,54.57,52,Elsevier B.V.,1.0
Review of Economic Studies,13.609,177,6.84523809523809,4.53590496355673,94,249,5410,2278601.0,1637,0.0164935858277336,0.1044176706827309,249,5.86,57.55,93,Oxford University Press,1.0
Immunity,13.578,475,24.1765799256506,3.92935075149367,233,688,15608,6320543.0,13408,0.0190184964200477,0.1656976744186046,550,16.87,66.99,32,Cell Press,1.0
Nature Catalysis,13.315,162,35.0795454545455,5.11213029818299,180,470,6682,4453472.0,11846,0.0119871686645281,0.2127659574468085,367,23.65,37.12,8,Nature Publishing Group,1.0
Morbidity and Mortality Weekly Report,13.08,274,21.6426174496644,6.51264908233136,307,1115,2113,9143671.0,19608,0.0128518971848225,0.1641255605381165,946,16.96,6.88,45,Department of Health and Human Services,1.0
Chemical Society Reviews,12.511,673,44.3863636363636,7.02408390379829,252,983,61439,7741038.0,43457,0.0098718273235612,0.0122075279755849,979,38.14,243.81,54,Royal Society of Chemistry,1.0
American Economic Journal: Macroeconomics,12.324,88,6.09558823529412,3.86095650002171,55,137,2838,1185915.0,820,0.0329268292682926,0.1532846715328467,137,5.79,51.6,16,American Economic Association,1.0
Nature Reviews Methods Primers,12.294,67,42.3493975903614,13.073815771796,61,154,7940,682504.0,3956,0.0037917087967644,0.0519480519480519,86,25.69,130.16,4,Springer Nature,1.0
eScience,12.288,63,41.0,5.17204328656387,59,79,4725,311955.0,3279,0.017688319609637,0.0,78,41.51,80.08,5,KeAi Communications Co.,1.0
Nature Neuroscience,12.261,496,21.7521367521368,4.74314660791523,279,620,12314,6022309.0,9803,0.0178516780577374,0.2225806451612903,495,14.48,44.14,28,Nature Research,1.0
The Lancet Oncology,12.179,432,25.245138746216103,6.381075245397352,388,1454,5208,12727543.0,18298,0.0078150617553831,0.4078404401650619,633,11.62,13.42,26,Elsevier Ltd,1.0
The Lancet,12.113,936,33.74088232724548,7.3832018608520755,1390,4043,22032,37953443.0,66124,0.0066995342084568,0.4076181053673015,1369,14.46,15.85,203,Elsevier B.V.,1.0
