Title,SJR,H index,IPP,SNIP,Total Docs. (2003),Total Docs. (3years),Total Refs.,Est. value (USD) (2003),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Cell,28.284,925,25.4022988505747,5.02986963509335,356,1060,14521,11218586.0,30081,0.016721518566537,0.010377358490566,1049,27.0,40.79,52,Elsevier B.V.
Reviews of Modern Physics,26.67,399,31.2553191489362,16.7220653984472,38,94,8816,1260035.0,3044,0.0075558475689881,0.0425531914893617,94,34.49,232.0,97,American Physical Society
Annual Review of Neuroscience,23.781,269,29.2823529411765,7.62295539280294,24,85,3917,772037.0,2782,0.005391804457225,0.0,85,32.73,163.21,47,Annual Reviews Inc.
Physiological Reviews,20.132,401,31.752380952381,10.02314130727,33,105,13974,1011158.0,3669,0.0046334150994821,0.0,105,37.85,423.45,81,American Physiological Society
Genes and Development,18.492,489,16.3638497652582,2.93110560734005,283,857,15040,8408917.0,15648,0.0267126789366053,0.0046674445740956,855,16.95,53.14,39,Cold Spring Harbor Laboratory Press
Nature Cell Biology,16.387,420,16.6483704974271,2.96712145264962,236,803,5570,5649617.0,11275,0.0149889135254988,0.1905354919053549,684,13.82,23.6,27,Nature Research
Quarterly Journal of Economics,16.387,322,5.768,6.5673964266251,40,125,1579,1125640.0,947,0.0538542766631467,0.064,125,6.72,39.48,140,Oxford University Press
Molecular Cell,16.202,459,14.0272277227723,2.53506125795749,324,820,13306,7577236.0,12655,0.0299486369024101,0.0414634146341463,816,14.54,41.07,29,Cell Press
Current Opinion in Cell Biology,16.027,284,16.7919708029197,3.35254291719743,105,311,5817,2947449.0,5139,0.0155672309787896,0.1028938906752411,279,16.84,55.4,37,Elsevier Ltd
Journal of Finance,15.465,370,4.89105058365759,4.93987021334418,93,258,3349,2228793.0,1591,0.1018227529855436,0.0775193798449612,257,5.15,36.01,80,Wiley-Blackwell Publishing Ltd
Nature Immunology,15.02,452,20.0597014925373,3.70012346101934,234,584,8150,3755892.0,9753,0.0296319081308315,0.1626712328767123,464,16.7,34.83,26,Nature Research
Journal of Financial Economics,14.602,331,4.40116279069767,3.63812457756068,59,176,2411,1467662.0,969,0.087719298245614,0.1363636363636363,172,4.34,40.86,52,Elsevier B.V.
Immunity,14.294,475,15.8008658008658,3.08653954519448,174,466,7469,4466576.0,8324,0.0318356559346468,0.0128755364806866,463,16.71,42.93,32,Cell Press
Nature Genetics,13.523,660,20.7554644808743,5.02421864126367,301,1033,7589,9205991.0,18566,0.0138963697080685,0.1452081316553727,954,16.2,25.21,34,Nature Research
Pharmacological Reviews,13.345,264,29.1875,9.38885360190099,29,68,7430,606877.0,2164,0.0046210720887245,0.0147058823529411,67,27.69,256.21,76,Elsevier Inc.
Progress in Materials Science,12.886,255,14.8214285714286,13.1465271083619,7,31,2006,201580.0,495,0.004040404040404,0.1935483870967742,29,12.54,286.57,56,Elsevier Ltd
Annual Review of Biophysics,12.713,178,14.719298245614,4.05992070696437,21,59,2181,490937.0,919,0.0065288356909684,0.0677966101694915,57,12.72,103.86,17,Annual Reviews Inc.
Nature Reviews Molecular Cell Biology,11.966,531,13.3586206896552,2.74100988095286,214,521,8713,3348568.0,6438,0.0114942528735632,0.6122840690978887,516,11.72,40.71,26,Nature Research
Trends in Cell Biology,11.814,271,15.0524193548387,3.03447126119659,99,508,5217,3806185.0,4244,0.0110744580584354,0.4862204724409449,470,7.95,52.7,35,Elsevier Ltd
Developmental Cell,11.674,306,8.95547945205479,1.66503046650125,207,298,7991,2083575.0,3025,0.0271074380165289,0.1442953020134228,292,10.15,38.6,25,Cell Press
Chemical Reviews,11.627,873,23.1193317422434,9.83636892887547,159,432,39957,3697403.0,10263,0.010815551008477,0.0185185185185185,419,20.7,251.3,102,American Chemical Society
Journal of Cell Biology,11.551,422,10.5724137931034,2.00977654579867,466,1562,19861,13099791.0,17700,0.0486440677966101,0.0813060179257362,1511,10.73,42.62,71,Rockefeller University Press
Journal of Biology,11.435,57,18.3333333333333,4.65831916164261,24,9,603,125225.0,71,0.0,0.3333333333333333,7,7.89,25.13,9,BioMed Central Ltd
Science,11.428,1382,23.9765681326604,7.51842101381956,2334,7200,33646,62571877.0,83792,0.0141063586022531,0.3673611111111111,4836,11.58,14.42,145,American Association for the Advancement of Science
Neuron,11.416,548,12.2941729323308,2.5783154960685,422,1129,20726,9905331.0,14533,0.0600013761783527,0.0938883968113374,1093,12.36,49.11,38,Cell Press
Microbiology and Molecular Biology Reviews,11.404,287,17.0117647058824,6.0881971003847,27,86,7491,806816.0,1643,0.0024345709068776,0.0348837209302325,86,15.3,277.44,28,American Society for Microbiology
Nature,11.384,1442,23.6954299458809,7.59897062833927,2469,7894,32082,67743856.0,95445,0.0143014301430143,0.4152520901950848,5467,11.7,12.99,157,Nature Research
Ca-A Cancer Journal for Clinicians,11.335,223,31.7843137254902,15.6496930736892,36,103,1443,854371.0,1889,0.0084700899947061,0.4271844660194174,67,20.07,40.08,76,John Wiley and Sons Inc
Advances in Physics,11.027,127,14.5111111111111,7.73661017608923,10,48,1749,356663.0,677,0.0044313146233382,0.2291666666666666,45,10.08,174.9,72,Taylor and Francis Ltd.
Journal of Experimental Medicine,10.93,503,14.2352941176471,2.78836365172775,362,1071,15572,9515117.0,16878,0.0394596516174902,0.0130718954248366,1003,15.0,43.02,128,Rockefeller University Press
Current Opinion in Genetics and Development,10.655,203,11.7111111111111,2.21101868110457,95,297,5028,2579346.0,3597,0.0094523213789268,0.0976430976430976,274,12.88,52.93,35,Elsevier Ltd
Review of Financial Studies,10.574,250,2.90909090909091,3.00223960045911,39,131,1843,1009738.0,462,0.08008658008658,0.2366412213740458,121,3.23,47.26,30,Oxford University Press
Nature Reviews Immunology,10.57,486,12.4712041884817,2.90998051366028,215,250,9070,2060677.0,2819,0.0308620078041858,0.556,195,11.28,42.19,25,Nature Research
New England Journal of Medicine,10.407,1231,30.6991304347826,13.8845884405561,1235,3173,17632,27809010.0,47981,0.0097747024864008,0.3422628427355815,1524,15.73,14.28,81,Massachussetts Medical Society
EMBO Journal,10.214,441,9.98976109215017,2.01944276117912,621,2047,29013,17599272.0,22334,0.0282528879734933,0.0146555935515388,2047,10.7,46.72,44,Springer Science and Business Media Deutschland GmbH
Nature Reviews Cancer,10.0,527,13.7295918367347,3.18911471148914,167,224,8866,1695123.0,3308,0.0269044740024183,0.5133928571428571,206,14.77,53.09,25,Nature Publishing Group
Surface Science Reports,9.807,131,13.7741935483871,9.20781229805004,11,31,2540,271595.0,450,0.0111111111111111,0.032258064516129,31,12.05,230.91,45,Elsevier B.V.
Nature Reviews Genetics,9.608,439,11.8552631578947,3.1981249897389,197,379,8192,2520617.0,4198,0.0250119104335397,0.4722955145118733,350,11.43,41.58,26,Nature Research
Cancer Cell,9.46,416,11.6666666666667,2.42560258068445,135,132,5510,680186.0,1868,0.0438972162740899,0.0909090909090909,128,14.15,40.81,24,Cell Press
Annual Review of Genomics and Human Genetics,9.343,134,10.8148148148148,2.68550294983589,15,54,2489,231286.0,701,0.0185449358059914,0.0555555555555555,54,13.4,165.93,25,Annual Reviews Inc.
Nature Medicine,9.288,653,23.0245746691871,5.30336931690834,441,1436,8876,11763718.0,15724,0.0123378275248028,0.4213091922005571,870,10.65,20.13,31,Nature Research
Trends in Biochemical Sciences,9.151,309,12.3652482269504,2.8562447813196,116,530,4965,4052500.0,4745,0.0073761854583772,0.320754716981132,450,7.63,42.8,50,Elsevier Ltd
Annual Review of Plant Biology,9.067,307,15.9571428571429,6.05531719791496,27,71,3441,632868.0,1193,0.0142497904442581,0.0422535211267605,70,15.53,127.44,29,Annual Reviews Inc.
Annual Review of Microbiology,9.064,220,14.0481927710843,4.21560694979276,28,87,3431,660383.0,1343,0.011169024571854,0.0689655172413793,84,12.76,122.54,74,Annual Reviews Inc.
Econometrica,9.055,231,2.75647668393782,4.22572284455511,67,205,1842,1618438.0,704,0.0482954545454545,0.1902439024390244,193,2.81,27.49,43,Wiley-Blackwell Publishing Ltd
Nature Neuroscience,9.044,496,13.0868113522538,3.37468929299972,257,834,7537,6494906.0,9247,0.0193576295014599,0.1570743405275779,756,10.28,29.33,28,Nature Research
Accounts of Chemical Research,8.708,472,15.1111111111111,5.34436692554703,104,334,5326,2700350.0,5355,0.0072829131652661,0.0508982035928143,325,14.81,51.21,58,American Chemical Society
Journal of Economic Literature,8.336,189,6.125,9.96957056323525,21,56,2110,473518.0,496,0.0100806451612903,0.1607142857142857,56,8.15,100.48,32,American Economic Association
Physics Reports,8.303,328,14.1009615384615,7.86157895496811,55,250,14798,1974797.0,3171,0.0066225165562913,0.112,249,12.46,269.05,55,Elsevier B.V.
Administrative Science Quarterly,8.103,218,4.32835820895522,2.98459012570616,16,68,1581,552354.0,366,0.0491803278688524,0.0735294117647058,67,3.91,98.81,47,Johnson School at Cornell University
Materials Science and Engineering R: Reports,7.961,182,15.347907773706968,6.041873197129353,14,45,2222,303109.0,727,0.0013755158184319,0.0222222222222222,45,11.34,158.71,33,Elsevier B.V.
JAMA Psychiatry,7.94,417,12.0675241157556,4.7847740020345,132,465,6447,3632442.0,4795,0.0266944734098018,0.1569892473118279,321,8.34,48.84,13,American Medical Association
Journal of Clinical Investigation,7.864,558,12.8296650717703,2.97671645125888,469,1301,19194,10554124.0,16678,0.017987768317544,0.0491929285165257,1069,12.29,40.93,81,American Society for Clinical Investigation
Plant Cell,7.727,412,10.2025723472669,2.17523613871424,240,685,12617,5496828.0,6981,0.0830826529150551,0.0627737226277372,655,10.22,52.57,37,American Society of Plant Biologists
Current Opinion in Neurobiology,7.724,256,10.3971119133574,2.47089071528293,107,313,5760,2555351.0,3237,0.0148285449490268,0.1309904153354632,284,9.85,53.83,35,Elsevier Ltd
Molecular and Cellular Biology,7.71,361,7.89670781893004,1.50872048653606,802,2450,42597,20322890.0,21643,0.0645474287298433,0.0232653061224489,2448,8.41,53.11,45,Taylor and Francis Ltd.
Journal of Marketing,7.603,296,4.60759493670886,3.85781543913973,32,82,2057,946801.0,432,0.0925925925925925,0.1097560975609756,81,4.09,64.28,38,American Marketing Association
Endocrine Reviews,7.583,317,21.3958333333333,7.09416592111014,37,118,9668,976795.0,2331,0.0085800085800085,0.1694915254237288,115,17.68,261.3,46,The Endocrine Society
MMWR Surveillance Summaries,7.506,119,25.676493320496952,8.685677336541726,12,27,0,245604.0,491,0.0,0.037037037037037,27,19.08,0.0,22,Centers for Disease Control and Prevention (CDC)
Journal of Accounting and Economics,7.461,197,5.2258064516129,4.67406163407449,47,63,1576,655649.0,358,0.1340782122905028,0.2222222222222222,62,6.53,33.53,47,Elsevier B.V.
Strategic Management Journal,7.336,351,4.78571428571429,3.87635733875244,79,201,4594,1578891.0,1295,0.1034749034749034,0.0796019900497512,196,4.37,58.15,46,John Wiley and Sons Ltd
Nature Reviews Neuroscience,7.259,493,9.45676274944568,2.48557537304005,245,515,9937,3459620.0,4795,0.0254431699687174,0.6058252427184466,494,8.56,40.56,26,Springer Nature
Academy of Management Journal,7.255,396,4.90783410138249,3.86876492868135,55,226,2359,1482571.0,1398,0.0343347639484978,0.0929203539823008,220,5.38,42.89,50,Academy of Management
