Title,SJR,H index,IPP,SNIP,Est. value (USD) (2023),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Ref. / Doc.,Coverage_Duration,Publisher,Labels
Inverse Problems,1.185,133,2.431640625,1.533189087,2883653,0.138187221,0.261627907,42.38,41,IOP Publishing Ltd.,1
Computational and Applied Mathematics,0.646,52,2.798682973,1.128093027,4862539,0.057731263,0.294172932,37.56,23,Birkhauser Boston,1
International Journal of Approximate Reasoning,0.877,116,3.935323383,1.500024241,2418268,0.136555891,0.208737864,47.31,39,Elsevier Inc.,1
Journal of Complexity,1.115,57,1.585585586,1.234987519,626400,0.131147541,0.371681416,30.4,41,Academic Press Inc.,1
"International Journal of Wavelets, Multiresolution and Information Processing",0.275,31,1.172897196,0.692588797,933452,0.058064516,0.442477876,32.38,20,World Scientific Publishing Co. Pte Ltd,1
Communications for Statistical Applications and Methods,0.212,12,0.534722222,0.452871242,595203,0.079545455,0.680555556,24.21,8,Korean Statistical Society,0
International Journal of Applied Cryptography,0.124,19,0.75,0.857124337,20546,0,0.75,0,10,Inderscience,0
SeMA Journal,0.436,22,1.643678161,1.079489786,253885,0.043478261,0.459770115,42.23,16,Springer Nature,1
International Journal of Optimization and Control: Theories and Applications,0.369,14,1.84,0.95217363,388174,0.082278481,0.306666667,37.23,7,Ramazan YAMAN,1
Journal of Applied Mathematics and Computational Mechanics,0.271,11,0.981651376,0.442770284,65421,0.092592593,0.576576577,20.72,6,Czestochowa University of Technology,0
Computational and Mathematical Organization Theory,0.53,36,2.178571429,0.832639304,294534,0.063380282,0.333333333,42.83,22,Kluwer Academic Publishers,1
Statistica Applicata,0.162,5,0.268292683,0.069434934,103201,0.111111111,0.860465116,31.88,6,ASA Associazione per la Statistica Applicata,0
Advances in Applied Mathematics and Mechanics,0.531,35,1.664974619,0.742025305,1040930,0.205521472,0.38071066,41.58,16,Cambridge University Press,1
Advanced Studies: Euro-Tbilisi Mathematical Journal,0.224,6,0.509615385,0.500207532,197458,0.032786885,0.669902913,21.04,4,Tbilisi Centre for Mathematical Sciences,0
Electronic Journal of Combinatorics,0.893,57,0.841880342,1.139141149,3557515,0.079796265,0.557446809,20.38,30,Australian National University,1
Central European Journal of Economic Modelling and Econometrics,0.126,7,0.369565217,0.332359086,161267,0.045454545,0.673913043,34.25,8,Polish Academy of Sciencies-Lodz Branch,0
Turkish World Mathematical Society Journal of Applied and Engineering Mathematics,0.197,13,0.501278772,0.516817299,1531931,0.060301508,0.701530612,22.86,8,Isik University,0
Journal of Nonlinear and Convex Analysis,0.482,39,0.804794521,0.540825316,2369895,0.175,0.683544304,27.4,15,Yokohama Publishers,1
Fundamental and Applied Mathematics,0.255,9,0.224489796,0.836642939,327818,0,0.848484848,15.13,13,Moscow State University,0
Review of Economics and Political Science,0.338,15,1.854545455,0.912763421,103575,0.015384615,0.413793103,51.95,8,Emerald Publishing,0
Results in Nonlinear Analysis,0.324,10,1.013157895,0.55915331,337279,0.012820513,0.605263158,22.77,7,Erdal Karapinar,0
Measurement: Journal of the International Measurement Confederation,1.181,146,5.718568441,1.633356881,22808291,0.085006408,0.112966829,44.66,43,Elsevier B.V.,1
Utilitas Mathematica,0.112,34,0.146341463,0.262277971,418767,0,0.87804878,12.67,28,Utilitas Mathematica Publishing Inc.,0
Journal of Mathematical Biology,0.779,111,2.053164557,1.001057028,2368792,0.07520564,0.289276808,46.83,52,Springer Science and Business Media Deutschland GmbH,1
Journal of Computational Technologies,0.209,5,0.35,0.389390712,428416,0.244897959,0.710743802,22.43,6,Institute of Computational Technologies SB RAS,0
Journal of Mathematical Modeling,0.258,11,0.806722689,0.511876297,498910,0.095238095,0.56302521,27.21,7,University of Guilan,0
Journal of Nonlinear Science,1.179,70,2.837288136,1.39973677,1742197,0.027511962,0.275510204,40.47,35,Springer New York,1
Bulletin of Mathematical Analysis and Applications,0.17,6,0.346938776,0.400617147,36019,0,0.76,20.2,6,"Department of Mathematics and Computer Sciences, University of Prishtina",0
Bulletin of Computational Applied Mathematics,0.106,7,0.074074074,0.067250883,106839,0,0.928571429,22.5,8,Universidad Simon Bolivar,0
IAENG International Journal of Applied Mathematics,0.251,24,1.209944751,0.80372755,1654395,0.115299335,0.436464088,27.59,17,International Association of Engineers,0
Functional Analysis and its Applications,0.42,30,0.442307692,0.694215302,503435,0.063492063,0.603773585,16.73,58,Springer,1
Lecture Notes of TICMI,0.127,3,0.133333333,0.288755901,40408,0,0.823529412,0,7,Tbilisi International Centre of Mathematics and Informatics (TICMI),0
Electronic Transactions on Numerical Analysis,0.685,50,1.151079137,0.987842096,647159,0.066666667,0.460431655,35.67,30,Kent State University,1
Mathematical Modelling of Engineering Problems,0.202,21,0.980676329,0.441083587,1993250,0.140969163,0.509661836,30.36,8,International Information and Engineering Technology Association,0
Dependence Modeling,0.239,17,0.616666667,0.502800474,284227,0.027777778,0.661290323,34.64,12,Walter de Gruyter GmbH,1
Computational Continuum Mechanics,0.256,7,0.660869565,0.5897382,320500,0.350649351,0.504347826,27.55,6,Institute of Continuous Media Mechanics,1
Art of Discrete and Applied Mathematics,0.184,7,0.277310924,0.42320582,281936,0.032258065,0.792,20.18,7,University of Primorska,0
Quarterly of Applied Mathematics,0.712,46,0.947368421,1.018712362,443240,0.068965517,0.426829268,36.81,53,American Mathematical Society,1
Rendiconti del Seminario Matematico,0.293,22,0.529411765,1.053383732,104225,0,0.736842105,38.22,25,Rendiconti del Seminario Matematico,1
Problemy Analiza,0.21,10,0.432098765,0.489526653,351466,0.236842105,0.641975309,18.87,9,Petrozavodsk State University,0
Revista Politecnica,0.128,5,0.25,0.168120583,160852,0.227272727,0.797619048,28.08,6,Escuela Politecnica Nacional,0
Iranian Journal of Mathematical Chemistry,0.394,10,1.13559322,0.606539527,158203,0.074626866,0.533333333,22.74,6,University of Kashan,1
Journal of Algebra and Applied Mathematics,0.141,7,0.148148148,0.392746914,103712,0.75,0.892857143,10.89,13,SAS International Publications,0
Differential Equations and Dynamical Systems,0.305,26,0.972093023,0.76732163,778270,0.033149171,0.488372093,30.74,18,Springer International Publishing AG,1
WSEAS Transactions on Mathematics,0.249,26,0.597744361,0.61511597,1053873,0.081218274,0.620300752,24.15,19,World Scientific and Engineering Academy and Society,0
IMA Journal of Applied Mathematics,0.389,50,1.219512195,0.683452126,568600,0.012987013,0.43902439,39.15,60,Oxford University Press,1
Prikladnaya Diskretnaya Matematika,0.23,7,0.247787611,0.569070732,461392,0.133333333,0.805309735,25,9,Tomsk State University,0
Pervasive and Mobile Computing,0.915,83,3.528037383,1.07147496,1185328,0.011351909,0.171052632,51.2,21,Elsevier B.V.,1
Statistical Theory and Related Fields,0.281,9,0.5,0.499136868,411105,0.083333333,0.712871287,22.35,9,Routledge,0
Journal of Computational and Nonlinear Dynamics,0.429,64,1.817490494,0.766563324,1459556,0.050709939,0.328358209,34.19,20,American Society of Mechanical Engineers (ASME),1
"Dynamics of Continuous, Discrete and Impulsive Systems Series A: Mathematical Analysis",0.163,30,0.341772152,0.386191598,311254,0,0.772151899,31.32,22,Watam Press,0
Symmetry: Culture and Science,0.189,4,0.065934066,0.119561938,144749,0.666666667,0.838383838,18.3,5,Symmetrion,0
Statisztikai Szemle,0.162,5,0.28030303,0.260095717,199995,0.333333333,0.822222222,36.85,32,Kozponti Statisztikai Hivatal,0
Northeast Journal of Complex Systems,0.183,5,0.533333333,0.238582804,19473,0,0.666666667,30,6,Binghamton University Libraries,0
Uchenye Zapiski Kazanskogo Universiteta. Seriya Fiziko-Matematicheskie Nauki,0.136,8,0.246575342,0.326089474,242792,0.052631579,0.794520548,19.33,9,Kazan Federal University,0
Queueing Models and Service Management,0.16,6,0.5,0.613297049,14247,0.1,0.611111111,24,7,Kaoyian Press,0
International Journal of Serious Games,0.441,14,1.76056338,0.957981353,236900,0.14379085,0.404761905,48.72,6,Serious Games Society,1
"Groups, Complexity, Cryptology",0.142,14,0.444444444,1.023905517,76989,0,0.722222222,26.33,16,Episciences,0
Journal des Mathematiques Pures et Appliquees,2.487,77,2.381410256,1.914724981,2077910,0.009536785,0.262820513,40.36,29,Elsevier Masson s.r.l.,1
lnternational Journal of Differential Equations and Applications,0.285,9,1.191489362,0.61620297,143863,0.637931034,0.468085106,25.75,6,Academic Publications Ltd.,0
Psychometrika,2.376,90,3.709459459,1.959011265,1018192,0.086393089,0.271523179,52.02,89,Cambridge University Press,1
Progress in Fractional Differentiation and Applications,0.334,25,1.339805825,0.603248735,562441,0.073825503,0.528846154,30.75,11,Natural Sciences Publishing,0
Applied System Innovation,0.788,35,4.527272727,1.392308172,1024177,0.021039604,0.181494662,51.81,7,Multidisciplinary Digital Publishing Institute (MDPI),0
Journal of Mathematical Psychology,0.938,83,2.04,1.148111632,887191,0.142405063,0.37012987,41.87,62,Academic Press Inc.,1
Journal of Dynamics and Games,0.439,13,1.256756757,0.960286054,334890,0.053571429,0.425,26,12,American Institute of Mathematical Sciences,1
Information Geometry,0.387,11,1.58974359,1.614128576,179606,0.225806452,0.341463415,35.04,8,Springer Nature,1
Examples and Counterexamples,0.204,5,0.64,0.847869788,81950,0.054054054,0.62,13.58,5,Elsevier B.V.,1
Discrete and Continuous Dynamical Systems - Series B,0.655,65,1.4539801,0.836581678,4247381,0.043103448,0.424354244,34.03,25,American Institute of Mathematical Sciences,1
Journal of Cryptologic Research,0.191,17,0.659292035,0.443742829,807462,0.281081081,0.551724138,33.51,11,Chinese Association for Cryptologic Research,1
ISeCure,0.182,7,0.388888889,0.15399129,143203,0.034482759,0.708333333,36.58,7,Iranian Society of Cryptology,0
Mathematical and Computational Forestry and Natural-Resource Sciences,0.209,14,0.476190476,0.381848933,83444,0.1,0.714285714,25.8,16,University of Georgia,0
Stochastic Processes and their Applications,1.123,89,1.443877551,1.282842715,3322267,0.076201641,0.413559322,34.94,53,Elsevier B.V.,1
Stochastic Analysis and Applications,0.599,43,1.509677419,1.096225049,793039,0.052401747,0.516129032,31.51,43,Taylor and Francis Ltd.,1
New Zealand Journal of Mathematics,0.367,5,0.75,1.145160266,137500,0,0.627118644,21,6,"New Zealand Mathematical Society and Department of Mathematics, University of Auckland",0
Annals of Mathematics and Artificial Intelligence,0.411,61,1.432432432,0.967318697,727901,0.03125,0.433962264,38.09,36,Springer Netherlands,1
Mathematical Medicine and Biology,0.276,51,1,0.32965136,280917,0.054794521,0.333333333,48.93,40,Oxford University Press,1
International Journal of Bifurcation and Chaos,0.57,120,2.507817492,0.944145302,4276306,0.123316062,0.336302895,37.05,30,World Scientific,1
IACR Transactions on Symmetric Cryptology,1.169,29,3.01459854,2.464577073,758743,0.133333333,0.221428571,36.18,7,Ruhr-University of Bochum,1
Surveys in Mathematics and its Applications,0.232,8,0.53968254,0.552510681,259239,0.052631579,0.698412698,22.45,8,University Constantin Brancusi of Targu-Jiu,0
Informatics and Automation,0.239,14,0.68115942,0.506019441,351024,0.088888889,0.553956835,43.64,6,St. Petersburg Federal Research Center of the  Russian Academy of Sciences,0
Advances in Calculus of Variations,1.618,27,1.884210526,1.588016263,554422,0.071005917,0.372093023,28.46,18,Walter de Gruyter GmbH,1
IMA Journal of Management Mathematics,0.73,40,2.418918919,1.209670509,382809,0.203125,0.236842105,46.23,36,Oxford University Press,1
International Journal of Data Analysis Techniques and Strategies,0.158,20,0.735849057,0.323960078,232282,0.08,0.592592593,46.05,17,Inderscience,0
International Journal of Computational Methods and Experimental Measurements,0.16,13,0.714285714,0.571008589,347652,0.060606061,0.547619048,34.34,12,International Information and Engineering Technology Association,0
International Journal of Mathematics and Computer Science,0.272,17,0.561032864,0.553365482,1540419,0.098814229,0.655011655,11.34,9,"Badih/Ghusayni, Ed. & Pub.",0
European Journal of Pure and Applied Mathematics,0.436,16,1,1.186436255,1473031,0.409703504,0.59833795,19.36,7,New York Business Global,1
Neuro-Fuzzy Modeling Techniques in Economics,0.129,6,0.923076923,0.433251279,11410,0.25,0.153846154,35.2,4,Vadym Hetman Kyiv National University of Economics,1
Bayesian Analysis,1.761,69,3.955223881,2.697441527,900712,0.022140221,0.284671533,46.15,20,Carnegie Mellon University,1
Journal of Differential Equations,2.046,150,2.783612233,1.96614806,10727321,0.081896552,0.263490241,35.44,61,Academic Press Inc.,1
Match,0.911,73,2.09047619,1.220036971,1146774,0.217488789,0.336492891,24.69,31,"University of Kragujevac, Faculty of Science",1
ESARDA Bulletin,0.136,5,0.266666667,0.196140995,61409,0.125,0.823529412,29.33,8,Publications Office of the European Union,0
Fractional Differential Calculus,0.261,8,0.64,0.398220299,82317,0.023809524,0.56,29,6,Element D.O.O.,0
Journal of Systems Science and Information,0.237,10,0.936363636,0.350005827,195753,0.053097345,0.5625,38,6,Science China Press,0
Zhurnal Srednevolzhskogo Matematicheskogo Obshchestva,0.261,3,0.196078431,0.593372103,67568,0.421052632,0.68627451,13.65,4,National Research Ogarev Mordovia State University,1
Journal of Computational Finance,0.284,17,0.75,0.652468204,234113,0.027027027,0.604166667,36.14,14,Incisive Media Ltd.,0
Journal of Mathematical Analysis,0.186,6,0.375,0.359402196,34180,0.028571429,0.675,24.57,5,University of Prishtina,0
Journal of Cryptology,1.433,85,3.49137931,3.152764208,635208,0.015533981,0.228813559,51.95,38,Springer New York,1
Journal of Applied and Computational Topology,0.975,17,2.232142857,1.846236302,144752,0.080882353,0.381818182,30.85,9,Springer International Publishing AG,1
International Journal of Analysis and Applications,0.235,15,0.783018868,0.547307948,534518,0.098360656,0.65258216,20.77,7,"Semnan University, Center of Excellence in Nonlinear Analysis and Applications",0
Bulletin of the Institute of Combinatorics and its Applications,0.266,6,0.509090909,0.681148214,153110,0.037037037,0.727272727,16.74,6,Institute of Combinatorics and its Applications,0
European Journal of Applied Mathematics,0.845,53,2.322222222,1.135476599,700229,0.031746032,0.393442623,34.77,36,Cambridge University Press,1
Statistics and its Interface,0.273,25,0.548387097,0.421263046,626541,0,0.704,37.39,15,"International Press, Inc.",0
"International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems",0.411,68,1.393442623,0.49501336,873333,0.062706271,0.435897436,35.99,30,World Scientific,1
Communications on Applied Nonlinear Analysis,0.125,16,0.127659574,0.123238248,232717,0,0.816326531,21.04,18,International Publications,0
Mathematics for Applications,0.151,4,0.297297297,0.302851364,103933,0,0.815789474,21.16,7,Brno University of Technology,0
International Journal of Nonlinear Science,0.104,4,0.046511628,0.042692432,50444,0,0.953488372,17.17,6,World Academic Union,0
Matematiche,0.291,8,0.551282051,0.65748329,308050,0.042553191,0.615384615,20.82,8,Universita di Catania,0
Mathematics of Computation,1.46,115,2.172523962,1.690312824,1691123,0.040462428,0.298412698,36.37,85,American Mathematical Society,1
Educational and Psychological Measurement,1.866,118,4.013422819,2.064408838,943637,0.044692737,0.266666667,50.39,85,SAGE Publications Inc.,1
Acta Mathematicae Applicatae Sinica,0.269,35,0.862068966,0.660679065,856988,0.018404908,0.619512195,26.73,41,Springer Verlag,1
Journal of Applied Mathematics,0.307,58,1.574468085,0.824243199,755599,0.010238908,0.442105263,28.95,24,John Wiley and Sons Ltd,1
Foundations of Data Science,0.822,13,2.075757576,0.898353547,67431,0.068493151,0.298507463,45.24,7,American Institute of Mathematical Sciences,1
Journal of Global Optimization,0.743,102,2.01369863,1.338047961,1995633,0.065753425,0.365853659,38.96,35,Springer Netherlands,1
Applied Set-Valued Analysis and Optimization,0.268,11,0.657534247,0.36095807,236982,0.046153846,0.532467532,31.63,7,Biemdas Academic Publishers,0
International Electronic Journal of Geometry,0.212,9,0.457446809,0.565402933,302141,0.155555556,0.744680851,27.7,6,DergiPark,0
International Journal of Biometrics,0.205,19,0.818181818,0.341626854,375147,0.077669903,0.511111111,38.19,18,Inderscience Enterprises Ltd,1
Japan Journal of Industrial and Applied Mathematics,0.307,32,0.909090909,0.696583271,683233,0.126213592,0.572519084,31.39,35,Springer Japan,1
Journal of Numerical Analysis and Approximation Theory,0.226,6,0.41025641,0.725849019,48083,0.076923077,0.692307692,22.79,10,Publishing House of the Romanian Academy,0
Advances in Mathematical Sciences and Applications,0.24,6,0.315068493,0.387459172,113442,0.260869565,0.780821918,24.77,6,Gakko Tosho Co. Ltd.,0
European Journal of Remote Sensing,0.833,56,3.858638743,1.044699558,1135578,0.017015707,0.194871795,63.7,14,Taylor and Francis Ltd.,1
Set-Valued and Variational Analysis,1.164,50,1.766423358,1.437343855,769358,0.059760956,0.363636364,29.98,17,Springer Verlag,1
Confluentes Mathematici,0.275,6,0.379310345,0.814363348,108317,0.111111111,0.793103448,28.5,7,Institut Camille Jordan,0
Hangkong Dongli Xuebao/Journal of Aerospace Power,0.239,30,0.724907063,0.620440326,3614816,0.215334421,0.53283767,24.3,28,BUAA Press,1
Journal of the European Mathematical Society,3.251,68,2.377862595,2.568418116,1867213,0.0112,0.209923664,43.73,24,European Mathematical Society Publishing House,1
International Journal of Intelligent Transportation Systems Research,0.402,26,2,0.857563491,572831,0.009493671,0.278911565,37.43,16,Springer,1
Journal of Applied Logics,0.251,11,0.454545455,0.499997105,668022,0.032608696,0.689440994,30.73,8,College Publications,0
Mathematics in Applied Sciences and Engineering,0.179,6,0.534482759,0.258578806,41211,0,0.627118644,31.18,5,Western University Libraries,0
Ecological Informatics,1.101,88,6.269863014,1.475083635,4081844,0.15748347,0.097693351,70.69,20,Elsevier B.V.,1
Nonlinear Dynamics,1.23,156,5.874693878,1.58446912,15281577,0.175501082,0.115494103,46.31,36,Springer Netherlands,1
Biophysical Bulletin,0.123,2,0.133333333,0.056755382,35719,0.25,0.75,33.88,6,V N Karazin Kharkiv National University,0
Journal of Mechanics,0.385,31,1.505154639,0.627547548,835209,0.099706745,0.329896907,36.78,28,Oxford University Press,1
Sahand Communications in Mathematical Analysis,0.264,8,0.571428571,0.606364017,414777,0.241758242,0.647058824,23.44,7,University of Maragheh,0
ESAIM: Mathematical Modelling and Numerical Analysis,1.247,85,1.905723906,1.2077506,1724068,0.055555556,0.313131313,41.28,30,EDP Sciences,1
Cryptography,0.538,24,2.313432836,1.077878671,475621,0.059665871,0.231343284,44.19,8,Multidisciplinary Digital Publishing Institute (MDPI),0
Nonlinear Dynamics and Systems Theory,0.298,23,1.023255814,1.031937336,612866,0.571428571,0.480620155,20.31,18,InforMath Publishing Group,1
Journal of Singularities,0.281,12,0.351648352,0.594289315,301631,0,0.720430108,24,15,Worldwide Center of Mathematics,0
"Geometry, Integrability and Quantization",0.214,6,0.285714286,0.398458871,210159,0.3125,0.771929825,17,7,Bulgarska Akademiya na Naukite,0
Industrial Laboratory. Materials Diagnostics,0.173,12,0.350140056,0.376262558,602820,0.454545455,0.710743802,21.64,12,"TEST-ZL Publishing, LLC",1
Observational Studies,0.286,7,0.574468085,0.242775459,89861,0.024390244,0.65,27.18,6,University of Pennsylvania Press,0
Trudy Instituta Matematiki i Mekhaniki UrO RAN,0.311,10,0.381679389,0.670223645,931849,0.110091743,0.722846442,19.63,6,Krasovskii Institute of Mathematics and Mechanics of the Ural Branch of Russian Academy of Sciences,0
International Journal of Computing Science and Mathematics,0.149,22,0.807909605,0.290946375,691255,0.049295775,0.610169492,23.75,17,Inderscience Enterprises Ltd,0
IIUM Engineering Journal,0.206,16,0.939597315,0.532191577,579196,0.030120482,0.513333333,29.6,10,International Islamic University Malaysia,0
SIAM Review,2.9,134,10.27160494,4.694548593,820562,0.006444683,0.459677419,67.05,51,Society for Industrial and Applied Mathematics Publications,1
Communications in Mathematical Biology and Neuroscience,0.2,16,1.035031847,0.492242392,1229999,0.067375887,0.560509554,27.74,9,SCIK Publishing Corporation,0
Journal of Difference Equations and Applications,0.469,53,1.340707965,1.007102679,1208793,0.028368794,0.489451477,33.35,26,Taylor and Francis Ltd.,1
Journal of Chemometrics,0.383,107,2.275862069,0.829720075,1029766,0.053533191,0.342465753,34.28,39,John Wiley and Sons Ltd,1
Journal of Algorithms and Computational Technology,0.251,21,0.878378378,0.377211725,369975,0,0.64,31.85,16,SAGE Publications Inc.,0
