Title,SJR,H index,IPP,SNIP,Total Docs. (2020),Total Docs. (3years),Total Refs.,Est. value (USD) (2020),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
Ca-A Cancer Journal for Clinicians,62.937,223,379.013513513513,142.04790672617,45,118,3309,1476560.0,15969,0.0018160185359133,0.2372881355932203,79,131.55,73.53,76,John Wiley and Sons Inc
MMWR Recommendations and Reports,40.949,155,51.1111111111111,41.3917984422043,10,9,1292,162777.0,541,0.0055452865064695,0.0,9,57.43,129.2,35,Centers for Disease Control and Prevention (CDC)
Nature Reviews Molecular Cell Biology,37.461,531,67.5161290322581,14.136550707967,114,337,8346,3748081.0,10709,0.0062564198337846,0.3798219584569733,165,32.61,73.21,26,Nature Research
Quarterly Journal of Economics,34.573,322,14.070796460177,10.7005895151799,40,113,2733,1213227.0,1866,0.015005359056806,0.0265486725663716,112,14.93,68.33,140,Oxford University Press
Nature Reviews Materials,32.011,215,70.375,13.0772769106984,85,262,9156,2199790.0,10593,0.0035872746153119,0.366412213740458,136,30.34,107.72,10,Nature Publishing Group
National Vital Statistics Reports,28.083,120,40.9166666666667,26.3114153970292,13,34,239,362773.0,1370,0.0116788321167883,0.0294117647058823,34,40.52,18.38,27,"Public Health Services, US Dept of Health and Human Services"
Cell,26.304,925,39.8896,8.01630674674197,567,1683,34899,17692122.0,52363,0.0124706376639993,0.1111111111111111,1554,28.22,61.55,52,Elsevier B.V.
Nature Reviews Genetics,26.214,439,39.7123287671233,8.78086258704716,106,327,7332,3640949.0,6348,0.007403906742281,0.4067278287461773,150,20.92,69.17,26,Nature Research
Reviews of Modern Physics,24.877,399,50.0683760683761,17.1521536471582,34,124,9662,1151251.0,6427,0.0028006846117939,0.0403225806451612,120,52.61,284.18,97,American Physical Society
Journal of Political Economy,21.034,225,8.47802197802198,7.13688617400637,105,214,5811,2052755.0,1616,0.0228960396039603,0.1448598130841121,182,8.04,55.34,48,University of Chicago Press
Nature Reviews Immunology,20.529,486,39.6125654450262,8.6960790065814,223,435,8069,4822298.0,8272,0.0053191489361702,0.4390804597701149,202,17.47,36.18,25,Nature Research
Chemical Reviews,20.528,873,56.5437589670014,12.2537230169542,253,737,105367,7495647.0,41897,0.0087357090006444,0.0271370420624151,705,54.0,416.47,102,American Chemical Society
MMWR Surveillance Summaries,19.961,119,42.0,22.6082126349578,26,48,478,487054.0,2263,0.0039770216526734,0.0208333333333333,48,58.12,18.38,22,Centers for Disease Control and Prevention (CDC)
New England Journal of Medicine,19.889,1231,42.4637592137592,14.7093412297183,1673,4309,15927,43900886.0,87186,0.0057463354208244,0.3541424924576468,1827,20.08,9.52,81,Massachussetts Medical Society
Nature Energy,19.733,259,42.9945355191257,7.1276698143902,199,635,5558,4755844.0,16918,0.0098711431611301,0.3496062992125984,401,25.83,27.93,10,Springer Nature
Nature Reviews Cancer,19.575,527,48.8988764044944,10.1678103653804,88,370,8894,3352195.0,9299,0.0046241531347456,0.4405405405405405,202,18.8,101.07,25,Nature Publishing Group
Nature Medicine,19.536,653,39.0148760330579,7.78708108614254,444,945,10114,9172038.0,22739,0.0042218215400853,0.2804232804232804,657,23.81,22.78,31,Nature Research
Nature Methods,19.469,408,26.4534412955466,6.48720797860674,329,1010,6437,9501807.0,15098,0.0136441912836137,0.4148514851485148,649,10.06,19.57,22,Nature Research
Nature Genetics,18.861,660,28.3620071684588,6.54352788862831,181,752,8686,6780585.0,16220,0.0183723797780517,0.1795212765957446,604,21.52,47.99,34,Nature Research
Academy of Management Annals,18.318,119,16.7333333333333,8.45990403649445,31,76,7077,677522.0,1574,0.0228716645489199,0.0131578947368421,75,15.29,228.29,16,Academy of Management
Journal of Finance,18.151,370,7.82587064676617,5.82081476414142,76,205,3888,2031604.0,1683,0.0386215092097445,0.0829268292682926,202,6.03,51.16,80,Wiley-Blackwell Publishing Ltd
American Economic Review,16.936,380,7.34100418410042,6.00693884177411,120,499,6639,4722082.0,3942,0.0243531202435312,0.1042084168336673,489,8.44,55.33,50,American Economic Association
