k,inertia,silhouette_score,calinski_harabasz_score
2,150462.349845933,0.43030140842159237,12705.342473051298
3,119366.53534243158,0.2979139601311121,11015.683763411082
4,104904.27772031944,0.25450234601839905,9417.198430225026
5,95063.66250408407,0.22616711173392515,8391.375852546533
6,86904.53754564308,0.23030290225252717,7776.680202114779
7,80412.7898371569,0.22364214011861194,7314.153837896144
8,76278.09091562373,0.2052356938946329,6787.635687813116
9,72415.58675448279,0.1937111356341348,6409.656638875793
10,69164.00460518709,0.17459691544325762,6085.675741710905
11,66481.01052689999,0.1711715245791665,5791.085714894775
12,64354.01086393068,0.16727625568067625,5507.767210227997
13,62270.49895288584,0.16423656741988477,5281.86023706574
14,60534.621033430005,0.16593455234589025,5066.078802825694
15,58869.06734616837,0.1633732570434724,4883.757718282065
