Metric,Journal_Type,n,Mean,Std,SE,CI_Lower,CI_Upper,Bootstrap_CI_Lower,Bootstrap_CI_Upper
SJR,Legitimate,18983,0.8678364325975872,1.5281447961231283,0.01109129056670758,0.846096516326312,0.8895763488688625,0.8476093096454722,0.8913844663646421
SJR,Problematic,8124,0.18626957163958643,0.14782758174033203,0.0016401007043570872,0.18305455427673328,0.18948458900243959,0.18320390201870998,0.18955159096504187
H index,Legitimate,18983,64.77284939156087,66.88507408155407,0.485452552072497,63.82131920016802,65.72437958295372,63.82389638097245,65.80142364220619
H index,Problematic,8124,11.86903003446578,15.434455332761717,0.17124044623212567,11.53335491012955,12.20470515880201,11.538678606597735,12.220491752831117
Self-Cites/Total Cites (3years),Legitimate,18983,0.08143531276208489,0.10433224881412677,0.0007572445294524787,0.07995104611446924,0.08291957940970054,0.08002531358907904,0.08292954739678429
Self-Cites/Total Cites (3years),Problematic,8124,0.12288438330030048,0.17217532626331566,0.0019102313015807915,0.11913984079426258,0.12662892580633836,0.11933514858243638,0.12658557367669154
Uncited Docs./Total Docs. (3years),Legitimate,18983,0.36564460756705486,0.2039261584709699,0.0014800981448172543,0.36274348352309715,0.36854573161101256,0.3627352979632256,0.36836712489909706
Uncited Docs./Total Docs. (3years),Problematic,8124,0.7469987034696038,0.1764980121318019,0.0019581901469745565,0.7431601493457222,0.7508372575934855,0.7433449292243836,0.7509299647427939
Cites / Doc. (2years),Legitimate,18983,2.6054569878312175,4.126951853234585,0.02995345877901285,2.5467455437504465,2.6641684319119885,2.552403887688985,2.66939588052468
Cites / Doc. (2years),Problematic,8124,0.4877424913835549,0.736176359184557,0.008167646057760073,0.4717318136126243,0.5037531691544855,0.4720724396848843,0.5035504369768588
