,SJR,H index,IPP,SNIP,Total Docs. (2023),Total Docs. (3years),Total Refs.,Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Labels
SJR,1.0,0.54999978949661,0.8899729010934955,0.8351656790594024,0.10129968706585289,0.1030913016321022,0.10921049361278065,0.2505670847412625,-0.12501402221190636,-0.3870781218222185,0.08661296839152069,0.8452224058920621,0.27982052840377764,0.14386029766100633,0.23675831603407158
H index,0.54999978949661,1.0,0.47112009706484376,0.3612541759418485,0.37121787318562904,0.4023618322106573,0.3606294097556375,0.5068837225843564,-0.1788476541971655,-0.5588578705636665,0.3773529366779418,0.4583946323181937,0.25964782584863805,0.45832727987570715,0.3936109757329979
IPP,0.8899729010934955,0.47112009706484376,1.0,0.924526101073945,0.12192264179490163,0.11801954680585473,0.13712130228941644,0.2598543900607127,-0.12480611214452278,-0.4200098002219956,0.10585386884717729,0.9462986850525428,0.2957869456017012,0.10841778214901004,0.2444802945467012
SNIP,0.8351656790594024,0.3612541759418485,0.924526101073945,1.0,0.06417055792473134,0.060817304545698,0.0725136539072256,0.1645348946072773,-0.1006232780699954,-0.3541633065247612,0.05093380888855963,0.881081586089075,0.256194634103103,0.13073779448096873,0.23937475976819914
Total Docs. (2023),0.10129968706585289,0.37121787318562904,0.12192264179490163,0.06417055792473134,1.0,0.9579837460828331,0.9676794599479497,0.8447289682453814,0.0005094154564882699,-0.19285996202786074,0.9562916185969081,0.1354258152469757,0.03197634639334464,0.08134078637776887,0.06207642058499016
Total Docs. (3years),0.1030913016321022,0.4023618322106573,0.11801954680585473,0.060817304545698,0.9579837460828331,1.0,0.9164506385630822,0.8540432495534596,-0.013794565079488166,-0.18847991888435983,0.9963346633013613,0.12744043565800492,0.023227645568393396,0.10121485958297549,0.07239593824786829
Total Refs.,0.10921049361278065,0.3606294097556375,0.13712130228941644,0.0725136539072256,0.9676794599479497,0.9164506385630822,1.0,0.8516973202363879,-0.0117602262145266,-0.21373472583957137,0.9222713356235223,0.1598187928770043,0.10820773270282684,0.06330788293825128,0.05671096210280947
Total Cites (3years),0.2505670847412625,0.5068837225843564,0.2598543900607127,0.1645348946072773,0.8447289682453814,0.8540432495534596,0.8516973202363879,1.0,-0.035722841733715135,-0.22162602136262385,0.847639853963482,0.26428951842625087,0.08340899409433848,0.09681656510205021,0.0829432960714861
Self-Cites/Total Cites (3years),-0.12501402221190636,-0.1788476541971655,-0.12480611214452278,-0.1006232780699954,0.0005094154564882699,-0.013794565079488166,-0.0117602262145266,-0.035722841733715135,1.0,0.2389485797353027,-0.010901190941406355,-0.1274754373592625,-0.08456732091036795,-0.1240480279894271,-0.14621403981712539
Uncited Docs./Total Docs. (3years),-0.3870781218222185,-0.5588578705636665,-0.4200098002219956,-0.3541633065247612,-0.19285996202786074,-0.18847991888435983,-0.21373472583957137,-0.22162602136262385,0.2389485797353027,1.0,-0.190203903621908,-0.485263244175315,-0.43210548624664885,-0.2043485424017754,-0.6652050327474923
Citable Docs. (3years),0.08661296839152069,0.3773529366779418,0.10585386884717729,0.05093380888855963,0.9562916185969081,0.9963346633013613,0.9222713356235223,0.847639853963482,-0.010901190941406355,-0.190203903621908,1.0,0.12219748511481533,0.032409121021727584,0.08810285993709625,0.06702856232493884
Cites / Doc. (2years),0.8452224058920621,0.4583946323181937,0.9462986850525428,0.881081586089075,0.1354258152469757,0.12744043565800492,0.1598187928770043,0.26428951842625087,-0.1274754373592625,-0.485263244175315,0.12219748511481533,1.0,0.35416137429379174,0.10273994729354312,0.2687667884481924
Ref. / Doc.,0.27982052840377764,0.25964782584863805,0.2957869456017012,0.256194634103103,0.03197634639334464,0.023227645568393396,0.10820773270282684,0.08340899409433848,-0.08456732091036795,-0.43210548624664885,0.032409121021727584,0.35416137429379174,1.0,0.08975882436708825,0.17034423719152741
Coverage_Duration,0.14386029766100633,0.45832727987570715,0.10841778214901004,0.13073779448096873,0.08134078637776887,0.10121485958297549,0.06330788293825128,0.09681656510205021,-0.1240480279894271,-0.2043485424017754,0.08810285993709625,0.10273994729354312,0.08975882436708825,1.0,0.3943490495634032
Labels,0.23675831603407158,0.3936109757329979,0.2444802945467012,0.23937475976819914,0.06207642058499016,0.07239593824786829,0.05671096210280947,0.0829432960714861,-0.14621403981712539,-0.6652050327474923,0.06702856232493884,0.2687667884481924,0.17034423719152741,0.3943490495634032,1.0
