Feature,Score,P_value
Uncited Docs./Total Docs. (3years),16981.96124283601,0.0
Coverage_Duration,3967.912596491813,0.0
H index,3949.91532980721,0.0
Cites / Doc. (2years),1494.404662926344,3.28825825e-316
SJR,1240.8699003240815,2.204484005227049e-264
IPP,1239.846341777154,3.5785959779495853e-264
SNIP,1159.5232206097205,1.2444914506562757e-247
Ref. / Doc.,601.7173592107231,4.328220351137698e-131
Self-Cites/Total Cites (3years),515.8224280255769,7.113540965906659e-113
Total Cites (3years),145.5161842790904,2.1189317181880682e-33
Total Docs. (2023),74.05702968831834,8.097196469523037e-18
