Publisher,0.0,1.0,Total,Problematic_Percentage
Zaslavsky Publishing House,5,0,5,100.0
ABV-press Publishing House,10,0,10,100.0
Wydawnictwo Uniwersytetu Slaskiego,5,0,5,100.0
AME Publishing Company,39,0,39,100.0
World Scientific and Engineering Academy and Society,13,0,13,100.0
University of Minnesota Press,7,0,7,100.0
University of Nebraska Press,7,0,7,100.0
University of Malaya,5,0,5,100.0
Universitat Jaume I,5,0,5,100.0
Universidad Carlos III de Madrid,5,0,5,100.0
UCOPress. Editorial Universidad de Cordoba,6,0,6,100.0
Universidad de Valladolid,8,0,8,100.0
Casa Editrice Leo S. Olschki,5,0,5,100.0
Brepols Publishers,27,0,27,100.0
Universidad Pedagogica y Tecnologica de Colombia,5,0,5,100.0
Universidade De Sao Paulo,6,0,6,100.0
Universidad del Rosario,6,0,6,100.0
Universidade de Brasilia,5,0,5,100.0
Universidade Federal do Rio de Janeiro - UFRJ,5,0,5,100.0
Universidade do Vale do Rio dos Sinos,6,0,6,100.0
Asian Economic and Social Society,5,0,5,100.0
Babes-Bolyai University,5,0,5,100.0
Baishideng Publishing Group,9,0,9,100.0
Klincksieck,5,0,5,100.0
Henry Stewart Publications,10,0,10,100.0
GERFLINT (Groupe d'Etudes et de Recherches pour le Francais Langue Internationale),10,0,10,100.0
International Islamic University Malaysia,5,0,5,100.0
Istanbul University,5,0,5,100.0
Lexxion Verlagsgesellschaft mbH,6,0,6,100.0
IGI Global Publishing,49,0,49,100.0
Horizon Research Publishing,7,0,7,100.0
Vita e Pensiero,7,0,7,100.0
Informing Science Institute,5,0,5,100.0
Amaltea Medical Publishing House,7,0,7,100.0
Krause und Pachernegg GmbH,5,0,5,100.0
Editions Eres,7,0,7,100.0
OAE Publishing Inc.,10,0,10,100.0
Universidad Nacional,5,0,5,100.0
Common Ground Research Networks,49,0,49,100.0
Ediciones Universidad de Salamanca,8,0,8,100.0
Eco-Vector LLC,20,0,20,100.0
SISMEL Edizioni del Galluzzo,7,0,7,100.0
Research Trends,5,0,5,100.0
Professionalnye Izdaniya,7,0,7,100.0
"Polish Academy of Sciences, Institute of Slavic Studies",5,0,5,100.0
Lifescience Global,5,0,5,100.0
LLC CPC Business Perspectives,6,0,6,100.0
FrancoAngeli,5,0,5,100.0
Multidisciplinary Digital Publishing Institute (MDPI),237,0,237,100.0
LED Edizioni Universitarie,5,0,5,100.0
Edizioni Ca' Foscari,7,0,7,100.0
Elmer Press,5,0,5,100.0
Penn State University Press,35,2,37,94.5945945945946
Lodz University Press,15,1,16,93.75
Fabrizio Serra Editore Srl,30,2,32,93.75
Pontificia Universidad Javeriana,11,1,12,91.66666666666666
Intellect Ltd.,71,7,78,91.02564102564102
Masaryk University,10,1,11,90.9090909090909
University of Warsaw,10,1,11,90.9090909090909
"University Library System, University of Pittsburgh",9,1,10,90.0
Tomsk State University,9,1,10,90.0
Universidade Federal do Parana,8,1,9,88.88888888888889
Vilnius University Press,15,2,17,88.23529411764706
Peeters Publishers,22,3,25,88.0
Universidade Estadual Paulista (UNESP),7,1,8,87.5
Universitat de Valencia,7,1,8,87.5
University of Pennsylvania Press,14,2,16,87.5
Istanbul University Press,7,1,8,87.5
Jagiellonian University Press,7,1,8,87.5
Kare Publishing,7,1,8,87.5
Nomos Verlagsgesellschaft mbH und Co,7,1,8,87.5
Universidad de Alicante,7,1,8,87.5
Universidad de Concepcion,7,1,8,87.5
Presses de Sciences Po,7,1,8,87.5
Saint Petersburg State University,14,2,16,87.5
Ural Federal University,6,1,7,85.71428571428571
Conscientia Beam,6,1,7,85.71428571428571
Universidad de Sevilla,6,1,7,85.71428571428571
Liverpool University Press,21,4,25,84.0
Societa Editrice Il Mulino,26,5,31,83.87096774193549
University of North Carolina Press,5,1,6,83.33333333333334
Universita degli Studi di Milano,5,1,6,83.33333333333334
International Bureau of Fiscal Documentation (IBFD),5,1,6,83.33333333333334
De Boeck Supérieur,10,2,12,83.33333333333334
Universidade Federal do Rio de Janeiro,5,1,6,83.33333333333334
Servicio de Publicaciones de la Universidad de Navarra,5,1,6,83.33333333333334
Michigan State University Press,5,1,6,83.33333333333334
Universidade Federal De Goias (UFG),5,1,6,83.33333333333334
Bulgarska Akademiya na Naukite,5,1,6,83.33333333333334
Universidad Complutense Madrid,33,7,40,82.5
Universitat de Barcelona,14,3,17,82.35294117647058
Universidad de Antioquia,9,2,11,81.81818181818183
University of Florida Press,4,1,5,80.0
University of Bologna,8,2,10,80.0
University of the Free State,4,1,5,80.0
Palacky University Olomouc,4,1,5,80.0
Editura Academiei Romane,4,1,5,80.0
Universidad de Murcia,4,1,5,80.0
Universidad Nacional Autonoma de Mexico,20,5,25,80.0
University of Alberta,4,1,5,80.0
Edizioni ETS,4,1,5,80.0
FrancoAngeli Edizioni,12,3,15,80.0
Incisive Media Ltd.,4,1,5,80.0
SOLEN s.r.o.,4,1,5,80.0
Universidad de Oviedo,4,1,5,80.0
Equinox Publishing Ltd,28,7,35,80.0
Chinese Medical Journals Publishing House Co.Ltd,50,14,64,78.125
National Research University Higher School of Economics,7,2,9,77.77777777777779
Duncker und Humblot GmbH,7,2,9,77.77777777777779
Open Library of Humanities,10,3,13,76.92307692307693
University of Illinois Press,13,4,17,76.47058823529412
Indiana University Press,19,6,25,76.0
Universidad Nacional de Colombia,22,7,29,75.86206896551724
University of Tehran,9,3,12,75.0
Vandenhoeck and Ruprecht GmbH and Co. KG,6,2,8,75.0
Edinburgh University Press,30,10,40,75.0
Universidad Nacional de Educacion a Distancia (UNED),9,3,12,75.0
Amsterdam University Press,6,2,8,75.0
Presses Universitaires de France,12,4,16,75.0
Galenos Publishing House,16,6,22,72.72727272727273
Universidade Federal de Santa Catarina,5,2,7,71.42857142857143
Universidad de Chile,10,4,14,71.42857142857143
Adam Mickiewicz University,5,2,7,71.42857142857143
Tarbiat Modares University,5,2,7,71.42857142857143
Wayne State University Press,5,2,7,71.42857142857143
John Libbey Eurotext,5,2,7,71.42857142857143
Karolinum - Nakladatelstvi Univerzity Karlovy,5,2,7,71.42857142857143
Il Mulino publishing house,9,4,13,69.23076923076923
Publishing House of the Romanian Academy,11,5,16,68.75
Tehran University of Medical Sciences,15,7,22,68.18181818181817
Universiti Sains Malaysia,4,2,6,66.66666666666666
Berghahn Journals,16,8,24,66.66666666666666
Universidad de Murcia Servicio de Publicaciones,4,2,6,66.66666666666666
Universidad de Costa Rica,4,2,6,66.66666666666666
South African Medical Association,4,2,6,66.66666666666666
Hacettepe University,4,2,6,66.66666666666666
Academy of Sciences of the Czech Republic,6,3,9,66.66666666666666
US Geological Survey,6,3,9,66.66666666666666
Purdue University Press,4,2,6,66.66666666666666
Universidade Federal do Rio Grande do Sul,4,2,6,66.66666666666666
Editorial Ciencias Medicas,10,5,15,66.66666666666666
Permanyer Publications,4,2,6,66.66666666666666
Iran University of Medical Sciences,4,2,6,66.66666666666666
Philosophy Documentation Center,11,6,17,64.70588235294117
Kluwer Law International,9,5,14,64.28571428571429
Nicolaus Copernicus University,7,4,11,63.63636363636363
Franz Steiner Verlag GmbH,7,4,11,63.63636363636363
Russian Academy of Sciences,12,7,19,63.1578947368421
Universidad de Granada,5,3,8,62.5
Penerbit Universiti Sains Malaysia,5,3,8,62.5
Media Sphera Publishing Group,13,8,21,61.904761904761905
Jaypee Brothers Medical Publishers (P) Ltd,8,5,13,61.53846153846154
Johns Hopkins University Press,55,35,90,61.111111111111114
Universidade Estadual de Maringa,6,4,10,60.0
Universidad de Malaga,3,2,5,60.0
Universitat Autonoma de Barcelona,15,10,25,60.0
Agricultural Research Communication Centre,3,2,5,60.0
Central South University,3,2,5,60.0
Islamic Azad University,6,4,10,60.0
Institute of Advanced Engineering and Science,3,2,5,60.0
University of Guilan,3,2,5,60.0
Oles Honchar Dnipro National University,3,2,5,60.0
Brill Academic Publishers,132,90,222,59.45945945945946
Universidad Autonoma de Madrid,4,3,7,57.14285714285714
Pontificia Universidad Catolica de Chile,8,6,14,57.14285714285714
Universitas Negeri Semarang,4,3,7,57.14285714285714
"Universidad de los Andes, Colombia",4,3,7,57.14285714285714
Advanstar Communications Inc.,4,3,7,57.14285714285714
Firenze University Press,12,9,21,57.14285714285714
Edward Elgar Publishing Ltd.,5,4,9,55.55555555555556
Czech Academy of Sciences,5,4,9,55.55555555555556
Slovak Academy of Sciences,5,4,9,55.55555555555556
RUDN University,5,4,9,55.55555555555556
Brieflands,12,10,22,54.54545454545454
Scandinavian University Press,6,5,11,54.54545454545454
University of Toronto Press,20,17,37,54.054054054054056
Universidad Politecnica de Valencia,7,6,13,53.84615384615385
University of Hawaii Press,9,9,18,50.0
Moscow State University of Psychology and Education,3,3,6,50.0
Pluto Journals,3,3,6,50.0
Kerman University of Medical Sciences,3,3,6,50.0
Universidad Austral de Chile,3,3,6,50.0
"Ediciones Doyma, S.L.",16,16,32,50.0
University of Ljubljana Press,3,3,6,50.0
University of Salamanca,3,3,6,50.0
Tamkang University,3,3,6,50.0
AVES,5,5,10,50.0
Berghahn Books Inc.,3,3,6,50.0
Duke University Press,26,27,53,49.056603773584904
CSIC Consejo Superior de Investigaciones Cientificas,17,18,35,48.57142857142857
Sciendo,16,17,33,48.484848484848484
Martinus Nijhoff Publishers,6,7,13,46.15384615384615
SAE International,6,7,13,46.15384615384615
Czech Medical Association J.E. Purkyne,9,11,20,45.0
Bentham Science Publishers,55,68,123,44.71544715447154
Hipatia Editorial,4,5,9,44.44444444444444
Universiti Putra Malaysia,4,5,9,44.44444444444444
Izdatel'stvo Nauka,4,5,9,44.44444444444444
Inderscience,27,34,61,44.26229508196721
Page Press Publications,10,13,23,43.47826086956522
Akademiai Kiado,16,21,37,43.24324324324324
National Academy of Sciences of Ukraine,3,4,7,42.857142857142854
University of Belgrade,3,4,7,42.857142857142854
Tabriz University of Medical Sciences,3,4,7,42.857142857142854
KMK Scientific Press Ltd.,3,4,7,42.857142857142854
Mattioli 1885,3,4,7,42.857142857142854
University of Wisconsin Press,3,4,7,42.857142857142854
Edizioni Minerva Medica S.p.A.,10,14,24,41.66666666666667
Universidade de Sao Paulo. Museu de Zoologia,2,3,5,40.0
European Publishing,2,3,5,40.0
National Taiwan Normal University,2,3,5,40.0
Meditsina Publishers,2,3,5,40.0
University of Ljubljana,2,3,5,40.0
IOS Press BV,2,3,5,40.0
Hamadan University of Medical Sciences,2,3,5,40.0
International Union of Crystallography,2,3,5,40.0
Bristol University Press,2,3,5,40.0
Il Pensiero Scientifico Editore s.r.l.,2,3,5,40.0
Addleton Academic Publishers,2,3,5,40.0
Polska Akademia Nauk,8,12,20,40.0
Chinese Mechanical Engineering Society,2,3,5,40.0
Royal Irish Academy,2,3,5,40.0
Maney Publishing,30,46,76,39.473684210526315
University of Sao Paolo,3,5,8,37.5
Inderscience Enterprises Ltd,63,106,169,37.278106508875744
University of California Press,11,20,31,35.483870967741936
Wolters Kluwer Health,11,21,32,34.375
American Association of Neurological Surgeons,2,4,6,33.33333333333333
Informa UK Limited,2,4,6,33.33333333333333
AOSIS (Pty) Ltd,10,20,30,33.33333333333333
Zhejiang University,3,6,9,33.33333333333333
Cognizant Communication Corporation,2,4,6,33.33333333333333
International Information and Engineering Technology Association,4,8,12,33.33333333333333
